Nivelcurso;Campus;Unidade;OrgCo[DivDec];OrgCo[ImplDec];OrgCo[RepOrgCol];AvaliaSetores[PROAE];AvaliaSetores[PROPP];AvaliaSetores[PRGRA];AvaliaSetores[PROEX];AvaliaSetores[PRCUL];AvaliaSetores[PROINOV];AvaliaSetores[DRI];AvaliaSetores[DIAAF];AvaliaSetores[COORD];AvaliaSetores[OUVID];AvaliaSetores[CATEND];EstReg;RAGRI;CPA;AplRF[DAtEn];AplRF[DAtPe];AplRF[DAtEx];AplRF[DAtInov];AplRF[AqEqi];AplRF[MAREF];AplRF[BProj];AplRF[BMoTP];AplRF[CAVS];TrInv;Qaberta
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICH – Instituto de Ciências Humanas;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;"A UFJF é uma excelente universidade pública. Possui um espaço acolhedor e excelentes professores/pesquisadores, além de servidores prestativos e educados. Espero que a UFJF esteja cada dia melhor. Sou grato por minha história e presença na UFJF.
Muito obrigado!"
Graduação (presencial ou a distância);UFJF - campus Governador Valadares;Faculdade de Farmácia;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo totalmente;Concordo;Discordo totalmente;Discordo;Discordo;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não concordo nem discordo;Não sei / Não se aplica;"Existe uma falta de divulgação das ações realizadas pela administração, não sei nada sobre elas e o que a administração anda fazendo. Além disso, todas as informações solicitadas  à secretaria e a coordenação ou a qualquer outro setor são sempre muito morosas e imprecisas, não havendo respostas definitivas e concretas. O quadro de funcionários que estão encabeçando essas administrações dão a aparência de que não sabem executar o serviço. Quanto aos recursos, falta materiais e reagentes de laboratórios e  quanto a estrutura, ela esta pode ser definida como ""mínimo necessário""."
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Farmácia;Não concordo nem discordo;Concordo;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Não concordo nem discordo;Concordo totalmente;Concordo totalmente;Não concordo nem discordo;Concordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;No momento o que mais venho visto de agravamento sobre a instituição é a falta de ventiladores em algumas salas, mas que em farmácia vem sendo resolvido, e de principal a falta de circulares ,  onde eu prefiro ir a pé e andar bastante para chegar ao meu destino, do que esperar um circular que demora 1h para chegar se tiver perdido o que passou. No meu caso ainda é pior, porque um dos motivos de eu ir a pé de casa até a instituição é que meu ônibus(borboleta-dom bosco) para somente no HU, local isolado, já é 1h para chegar de ônibus, ainda dá última vez não consegui pegar o circular , e tive que esperar mais 1h no HU porque demora passar. Por isso o máximo que posso evitar de pegar ônibus de linha , e circulares são evitados por este motivo, não há compatibilidade de horário do circular e o nosso horário de aula, e quando passa esta sempre lotado.
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICH – Instituto de Ciências Humanas;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Engenharia;Concordo;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo;Concordo;Concordo totalmente;Não concordo nem discordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Discordo;Discordo;Não concordo nem discordo;Concordo;Concordo;Não sei / Não se aplica;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Comunicação Social;Concordo;Concordo;Não concordo nem discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Concordo;Discordo totalmente;Discordo totalmente;Concordo;Discordo;Discordo;Discordo;Concordo;Discordo totalmente;Discordo totalmente;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Farmácia;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Engenharia;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Discordo;Discordo;Concordo;Não concordo nem discordo;Discordo;Discordo totalmente;Discordo totalmente;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICE – Instituto de Ciências Exatas;Discordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Discordo;Discordo;Discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo totalmente;Não sei / Não se aplica;Concordo totalmente;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Não concordo nem discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICB – Instituto de Ciências Biológicas;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Não concordo nem discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICH – Instituto de Ciências Humanas;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não concordo nem discordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;
Graduação (presencial ou a distância);UFJF - campus Governador Valadares;Faculdade de Odontologia;Concordo;Discordo totalmente;Discordo totalmente;Concordo;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Discordo totalmente;Concordo;Não concordo nem discordo;Discordo totalmente;Não sei / Não se aplica;Concordo;Concordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não sei / Não se aplica;Discordo totalmente;"Gostaria de expressar minha insatisfação com a atual estrutura oferecida pela faculdade, principalmente para os estudantes de Odontologia. A falta de um campus fixo para o curso tem sido um grande desafio. Precisamos nos deslocar constantemente entre diferentes unidades da faculdade, o que impacta diretamente na nossa rotina de estudos e práticas.
Esse modelo de campus disperso não só torna o transporte dentro da faculdade muito mais difícil, mas também nos obriga a carregar todo o material necessário para as aulas e atendimentos clínicos durante o dia inteiro. A falta de armários disponíveis para guardar nossos materiais faz com que tenhamos que carregar pesos desnecessários pela cidade, o que é extremamente desgastante, tanto fisicamente quanto emocionalmente.

Além disso, o tempo entre uma unidade e outra é curto, o que nos impede de descansar adequadamente ou até mesmo de fazer refeições tranquilas, prejudicando nosso bem-estar. É desanimador perceber que, apesar de ser um curso exigente e que demanda dedicação total, a instituição não parece demonstrar um compromisso real com a infraestrutura necessária para que possamos desempenhar nossas atividades da melhor forma possível."
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Outra;Não concordo nem discordo;Discordo;Discordo totalmente;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Concordo;Discordo;Concordo totalmente;Discordo;Discordo;Não concordo nem discordo;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não concordo nem discordo;Discordo;O curso de Medicina Veterinária não tem recurso o suficiente, sequer corpo docente completo. Têm professores que abusam da autoridade do cargo, como por exemplo a Emília Maricato. Outra questão é a falta de insumos para procedimentos simples e professores pedindo aos alunos para que  comprem materiais que deveriam ser disponibilizados aos alunos ou aos procimentos cirúrgicos na clínica. Não temos prédio, nem hospital e falta insumos para aula na clínica veterinária, isso afeta drasticamente o aprendizado do aluno, fazendo com que haja fuga para estágios em outros locais em condições exploratórias ou atrasem a formação, tanto que em comparação com o número de pessoas que entram no curso de medicina veterinária, formam-se pouquíssimas, e com razão, têm muitos problemas a serem resolvidos e nos sentimos simplesmente sem voz dentro da instituição. É péssimo e horrível estar nessa situação. Nem todos os alunos conseguem dar dinheiro para comprar algo que a universidade deveria dispor para o aluno, nem todo aluno consegue pagar ônibus todo dia e vão andando de prédio à prédio por conta das aulas serem distantes.
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Engenharia;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Concordo;Discordo;Não concordo nem discordo;Discordo;Não sei / Não se aplica;Discordo;Discordo;Concordo;Discordo;Concordo totalmente;Não sei / Não se aplica;Concordo;Discordo totalmente;
Pós-graduação (lato ou stricto sensu);UFJF - campus Juiz de Fora;Faculdade de Educação Física;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Concordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo totalmente;Discordo totalmente;Não concordo nem discordo;Discordo;Concordo;Não sei / Não se aplica;Discordo totalmente;Não concordo nem discordo;Discordo;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;
Graduação (presencial ou a distância);UFJF - Polos de EaD;Faculdade de Educação;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não sei / Não se aplica;Discordo totalmente;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;No curso a distância de Pedagogia, há falta de clareza nas informações, além da aparente ausência de polos efetivos e de uma coordenação estruturada. Não parece haver sequer um colegiado, já que cada professor adota metodologias e critérios de avaliação distintos. Além disso, não há aulas, apenas a disponibilização de materiais para leitura. Sinto-me um pouco decepcionada, pois cursos de Educação a Distância necessitam de padronização e informações claras para garantir uma experiência de aprendizado mais organizada e eficiente.
Pós-graduação (lato ou stricto sensu);UFJF - campus Juiz de Fora;Faculdade de Comunicação Social;Concordo totalmente;Discordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Discordo totalmente;Concordo;Concordo;Concordo;Discordo;Discordo totalmente;Concordo;Concordo;Concordo;Não sei / Não se aplica;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo;"A UFJF não tem conhecimento nem giscaliza as ações nos departamentos como no caso dos concursos. Como a Facom aprovou 4 casais de professores? O nepotismo lá  reina e a UFJF não fiscaliza. A própria coordenadora do PPGCOM colocou o marido no programa. Na graduação são 3 casais todos no mesma área radiodifusão (rádio e tv). A pontuação do curso de Jornalismo caiu nos últimos anos pois o departamento virou quintal da casa deles e nas aprovações de concursos vêm sendo favorecidos os orientadores deles como o caso Iluska Coutinho- Jorge Felz- aprovam Gustavo Pereira . Isso é associação criminosa visto que nepotismo uma prática ilegal. 
Temos também Álvaro Americano - Letícia- aprovam Wendel Guiducci ou Luana Viana.
Claudia e Jesualdo.
No PPGCOM, Cláudia Thomé e Marco Aurélio.
Inadmissível a UFJF não ter controle sobre isso nem determinar regras.
Número máximo de casais por departamentos 10%(casais antes da aprovação), representação estudantil da pós participar da comissão dos concursos, voto igual dos conjuges valer somente 1 para não desempatarem votações, entre outras discussões que limitem esta criminalidade que gera assédio pois se sentem donos do departamento."
Pós-graduação (lato ou stricto sensu);UFJF - campus Juiz de Fora;ICE – Instituto de Ciências Exatas;Discordo;Discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Concordo;Concordo;Concordo;Não concordo nem discordo;
Pós-graduação (lato ou stricto sensu);UFJF - campus Juiz de Fora;Faculdade de Educação;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo totalmente;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Discordo;Concordo;Acredito que implementação de bolsas de doutorado para professores e principalmente para professores que moram fora da cidade seria um avanço considerável na universidade e amplia as áreas de pesquisa e inovação.
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Direito;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Discordo;Discordo totalmente;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICE – Instituto de Ciências Exatas;Discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Discordo;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Engenharia;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo totalmente;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICH – Instituto de Ciências Humanas;Discordo;Não concordo nem discordo;Discordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Discordo;Discordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Administração e Ciências Contábeis;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Farmácia;Discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo totalmente;Não sei / Não se aplica;Concordo totalmente;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Não concordo nem discordo;Concordo totalmente;Discordo;Discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Discordo;Discordo;Concordo;Não concordo nem discordo;
Pós-graduação (lato ou stricto sensu);UFJF - campus Juiz de Fora;ICB – Instituto de Ciências Biológicas;Discordo;Não concordo nem discordo;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo totalmente;Concordo;Concordo totalmente;Discordo totalmente;Concordo totalmente;Discordo;Não sei / Não se aplica;Discordo;Discordo;Discordo;Discordo;Concordo;Não sei / Não se aplica;Discordo;
Pós-graduação (lato ou stricto sensu);UFJF - campus Juiz de Fora;Faculdade de Educação;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Não concordo nem discordo;Concordo totalmente;Concordo;Discordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Odontologia;Discordo;Discordo;Discordo;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Concordo;Discordo;Discordo;Discordo;Discordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Discordo;Concordo;Discordo;Discordo;Concordo;Concordo;Discordo;Concordo;Concordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Engenharia;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Discordo totalmente;Não sei / Não se aplica;Discordo totalmente;Discordo totalmente;Não sei / Não se aplica;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não concordo nem discordo;Concordo;Concordo;Discordo;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo totalmente;Muitas perguntas se tornaram difíceis de construir uma resposta bem embasada pelo fato de não ter informações sobre o conceito questionado.
Pós-graduação (lato ou stricto sensu);UFJF - Polos de EaD;Faculdade de Engenharia;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Discordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;
Pós-graduação (lato ou stricto sensu);UFJF - campus Juiz de Fora;Faculdade de Letras;Concordo;Não concordo nem discordo;Concordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;
Graduação (presencial ou a distância);UFJF - campus Governador Valadares;Faculdade de Odontologia;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;Discordo totalmente;Discordo;Não concordo nem discordo;Concordo;Não sei / Não se aplica;Discordo totalmente;Concordo;Concordo;Concordo;Não sei / Não se aplica;Não concordo nem discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Engenharia;Concordo;Discordo;Discordo;Discordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Discordo;Concordo;Concordo;Concordo;Discordo;Discordo;Discordo;Concordo;Não concordo nem discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Concordo;Excelente questionário. Espero que ele sirva como um guia para a tomada de ações pela UFJF, especialmente no que tange ao auxílio estudantil e às bolsas de pesquisa.
Graduação (presencial ou a distância);UFJF - campus Governador Valadares;Outra;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Não concordo nem discordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICB – Instituto de Ciências Biológicas;Não concordo nem discordo;Concordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Discordo;Concordo;Concordo;Concordo;Discordo;Concordo;Discordo;Discordo;Não concordo nem discordo;Discordo;Concordo;Discordo totalmente;Discordo totalmente;Não concordo nem discordo;Não sei / Não se aplica;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Engenharia;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Concordo totalmente;Concordo totalmente;Não concordo nem discordo;Não concordo nem discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Fisioterapia;Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Discordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Discordo totalmente;Discordo totalmente;Discordo;Não concordo nem discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Letras;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Concordo totalmente;Discordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;
Pós-graduação (lato ou stricto sensu);UFJF - campus Juiz de Fora;Faculdade de Letras;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICH – Instituto de Ciências Humanas;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;
Pós-graduação (lato ou stricto sensu);UFJF - Polos de EaD;CEAD - Centro de Educação a Distância;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Discordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;"As minhas respostas praticamente se limitaram à ""Não sei/Não se aplica"" e acredito que isso é em função de estar matriculado em um curso EAD. Como sugestão, acredito que o formulário deveria ter uma diferenciação entre os alunos presenciais e os a distância com questões pertinentes a cada tipo de aluno. Pois, os alunos EAD não conhecem os campi presencialmente e muitos dos benefícios e/ou regulamentos não se aplicam ou não são vivenciados pelos alunos EAD... Também sugiro que a UFJF viabilize para os estudantes de EAD a possibilidade de uma visita ao campus de origem da universidade para conhecimento da instituição e que seja obrigatório pela menos uma visita ao polo em que o aluno EAD está vinculado. Por fim, ainda sugiro que exista uma aula de apresentação da instituição de forma geral inclusive destacando tudo o que se aplica diretamente ao perfil do aluno EAD."
